pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
C. inopinata Dauer vs C. elegans Dauer	1	0.342699066812106	71.029367721784	0.15473817737264	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. inopinata L2	1	0.00537569140728366	1.22386814743	0.00620547684682428	0.261	0.261	
C. inopinata Dauer vs C. inopinata L3	1	1.60778058566987	263.801793216052	0.45814687679701	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. inopinata Gravid adult	1	8.96120193159204	2360.01755140832	0.919719956752852	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. inopinata Young adult	1	3.90194003916202	960.069461882071	0.834792587493743	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. inopinata L1	1	0.335526080227526	86.0303851283248	0.307218036674488	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans L1	1	2.11004174858365	542.373593372535	0.717071032258263	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans L2	1	0.0667073588023628	17.2269870762427	0.074502493390023	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans L3	1	0.276004975612184	68.8733873695686	0.209422197157512	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans L4	1	2.55604260479332	705.118660756775	0.766334485789944	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans Young adult	1	2.70179672850415	698.746130229235	0.774022847433089	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. elegans Gravid adult	1	5.16499564869742	1378.79289651009	0.865644805128848	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. inopinata L4	1	3.9289851017803	1032.0477349021	0.832936218541769	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. briggsae Dauer	1	0.0968732386291843	26.2775299570851	0.0921121616589925	0.001	0.00105263157894737	*
C. inopinata Dauer vs C. tropicalis Dauer	1	0.428564557288231	118.371054718667	0.307161249578233	0.001	0.00105263157894737	*
C. elegans Dauer vs C. inopinata L2	1	0.0334582275828292	6.23813957399616	0.0259664830282901	0.012	0.0122033898305085	.
C. elegans Dauer vs C. inopinata L3	1	0.766104834426216	116.800368099454	0.25021481575732	0.001	0.00105263157894737	*
C. elegans Dauer vs C. inopinata Gravid adult	1	8.10685922828141	1681.53146374863	0.873281738266182	0.001	0.00105263157894737	*
C. elegans Dauer vs C. inopinata Young adult	1	3.38764892251403	662.220440381553	0.74388366110502	0.001	0.00105263157894737	*
C. elegans Dauer vs C. inopinata L1	1	0.635827755246288	128.185649823241	0.355887720363506	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans L1	1	3.05735204157871	628.072503405304	0.713659955259453	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans L2	1	0.347929764367664	71.7020089804587	0.221506221744788	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans L3	1	0.0495154179050928	10.2748947110327	0.0333302999605727	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans L4	1	1.81381869094952	391.041500591448	0.607168171977023	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans Young adult	1	2.03833639991381	416.990873201032	0.63277184883534	0.001	0.00105263157894737	*
C. elegans Dauer vs C. elegans Gravid adult	1	4.22729597301097	890.849035713812	0.779498435816938	0.001	0.00105263157894737	*
C. elegans Dauer vs C. inopinata L4	1	3.13796286743158	650.315654674203	0.726353494746885	0.001	0.00105263157894737	*
C. elegans Dauer vs C. briggsae Dauer	1	0.0479843954585507	10.5646568859685	0.0343493852412485	0.002	0.00206896551724138	*
C. elegans Dauer vs C. tropicalis Dauer	1	0.0387711086649534	8.68968793539352	0.0277015415858465	0.002	0.00206896551724138	*
C. inopinata L2 vs C. inopinata L3	1	0.332917325074985	40.9477738478024	0.20582172424371	0.001	0.00105263157894737	*
C. inopinata L2 vs C. inopinata Gravid adult	1	4.18067168956498	1315.51327834107	0.961974775072692	0.001	0.00105263157894737	*
