column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
1	length	C. inopinata Adult	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
1	length	C. inopinata Adult	C. inopinata L3	20	20	400	6.79e-08	1.1e-07	****
1	length	C. inopinata Adult	C. inopinata L4	20	20	400	1.45e-11	1.65e-10	****
1	length	C. inopinata Adult	C. tropicalis Dauer	20	20	400	1.45e-11	1.65e-10	****
1	length	C. inopinata Dauer	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
1	length	C. inopinata Dauer	C. inopinata L2	20	20	193	0.86	0.87	ns
1	length	C. inopinata Dauer	C. inopinata L3	20	20	0	6.79e-08	1.1e-07	****
1	length	C. inopinata Dauer	C. inopinata L4	20	20	0	1.45e-11	1.65e-10	****
1	length	C. inopinata Dauer	C. tropicalis Dauer	20	20	38.5	1.33e-05	1.68e-05	****
1	length	C. inopinata L1	C. inopinata L2	20	20	8	2.2e-07	3.03e-07	****
1	length	C. inopinata L1	C. inopinata L3	20	20	0	6.74e-08	1.1e-07	****
1	length	C. inopinata L1	C. inopinata L4	20	20	0	6.75e-08	1.1e-07	****
1	length	C. inopinata L1	C. tropicalis Dauer	20	20	1	7.84e-08	1.22e-07	****
1	length	C. inopinata L2	C. inopinata L3	20	20	3	1.06e-07	1.58e-07	****
1	length	C. inopinata L2	C. inopinata L4	20	20	0	6.78e-08	1.1e-07	****
1	length	C. inopinata L2	C. tropicalis Dauer	20	20	76.5	0.000876	0.001	**
1	length	C. inopinata L3	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
1	length	C. inopinata L3	C. tropicalis Dauer	20	20	377	1.8e-06	2.37e-06	****
1	length	C. inopinata L4	C. tropicalis Dauer	20	20	400	1.45e-11	1.65e-10	****
2	length	C. briggsae Dauer	C. elegans Adult	20	20	0	6.79e-08	1.1e-07	****
2	length	C. briggsae Dauer	C. elegans Dauer	20	20	245	0.231	0.247	ns
2	length	C. briggsae Dauer	C. elegans L1	20	20	400	6.79e-08	1.1e-07	****
2	length	C. briggsae Dauer	C. elegans L2	20	20	342.5	0.000122	0.000148	***
2	length	C. briggsae Dauer	C. elegans L3	20	20	48.5	4.41e-05	5.5e-05	****
2	length	C. briggsae Dauer	C. elegans L4	20	20	0	6.78e-08	1.1e-07	****
2	length	C. briggsae Dauer	C. inopinata Adult	20	20	0	1.45e-11	2.64e-10	****
2	length	C. briggsae Dauer	C. inopinata Dauer	20	20	252.5	0.16	0.175	ns
2	length	C. briggsae Dauer	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
2	length	C. briggsae Dauer	C. inopinata L2	20	20	231	0.409	0.433	ns
2	length	C. briggsae Dauer	C. inopinata L3	20	20	5	1.43e-07	2.13e-07	****
2	length	C. briggsae Dauer	C. inopinata L4	20	20	0	1.45e-11	2.64e-10	****
2	length	C. briggsae Dauer	C. tropicalis Dauer	20	20	107	0.012	0.014	*
2	length	C. elegans Adult	C. elegans Dauer	20	20	400	6.79e-08	1.1e-07	****
2	length	C. elegans Adult	C. elegans L1	20	20	400	6.78e-08	1.1e-07	****
2	length	C. elegans Adult	C. elegans L2	20	20	400	6.78e-08	1.1e-07	****
2	length	C. elegans Adult	C. elegans L3	20	20	400	6.78e-08	1.1e-07	****
2	length	C. elegans Adult	C. elegans L4	20	20	380	1.2e-06	1.63e-06	****
2	length	C. elegans Adult	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans Adult	C. inopinata Dauer	20	20	400	6.78e-08	1.1e-07	****
2	length	C. elegans Adult	C. inopinata L1	20	20	400	6.74e-08	1.1e-07	****
2	length	C. elegans Adult	C. inopinata L2	20	20	400	6.77e-08	1.1e-07	****
2	length	C. elegans Adult	C. inopinata L3	20	20	377.5	1.68e-06	2.18e-06	****
2	length	C. elegans Adult	C. inopinata L4	20	20	177	0.543	0.568	ns
2	length	C. elegans Adult	C. tropicalis Dauer	20	20	400	6.78e-08	1.1e-07	****
2	length	C. elegans Dauer	C. elegans L1	20	20	400	6.79e-08	1.1e-07	****
2	length	C. elegans Dauer	C. elegans L2	20	20	324	0.000833	0.000972	***
2	length	C. elegans Dauer	C. elegans L3	20	20	43.5	2.44e-05	3.08e-05	****
2	length	C. elegans Dauer	C. elegans L4	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans Dauer	C. inopinata Adult	20	20	0	1.45e-11	2.64e-10	****
2	length	C. elegans Dauer	C. inopinata Dauer	20	20	215	0.695	0.711	ns
2	length	C. elegans Dauer	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
2	length	C. elegans Dauer	C. inopinata L2	20	20	195.5	0.914	0.914	ns
2	length	C. elegans Dauer	C. inopinata L3	20	20	3	1.06e-07	1.66e-07	****
2	length	C. elegans Dauer	C. inopinata L4	20	20	0	1.45e-11	2.64e-10	****
2	length	C. elegans Dauer	C. tropicalis Dauer	20	20	71	0.000509	0.000609	***
2	length	C. elegans L1	C. elegans L2	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L1	C. elegans L3	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L1	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
2	length	C. elegans L1	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L1	C. inopinata Dauer	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L1	C. inopinata L1	20	20	4.5	1.32e-07	2e-07	****
2	length	C. elegans L1	C. inopinata L2	20	20	0	6.77e-08	1.1e-07	****
2	length	C. elegans L1	C. inopinata L3	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L1	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L1	C. tropicalis Dauer	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L2	C. elegans L3	20	20	4.5	1.32e-07	2e-07	****
2	length	C. elegans L2	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
2	length	C. elegans L2	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L2	C. inopinata Dauer	20	20	103	0.009	0.01	*
2	length	C. elegans L2	C. inopinata L1	20	20	387.5	4.17e-07	5.84e-07	****
2	length	C. elegans L2	C. inopinata L2	20	20	110.5	0.016	0.018	*
2	length	C. elegans L2	C. inopinata L3	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L2	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L2	C. tropicalis Dauer	20	20	24	2.06e-06	2.64e-06	****
2	length	C. elegans L3	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
2	length	C. elegans L3	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L3	C. inopinata Dauer	20	20	378.5	1.47e-06	1.94e-06	****
2	length	C. elegans L3	C. inopinata L1	20	20	400	6.74e-08	1.1e-07	****
2	length	C. elegans L3	C. inopinata L2	20	20	345.5	8.75e-05	0.000108	***
2	length	C. elegans L3	C. inopinata L3	20	20	20.5	1.28e-06	1.71e-06	****
2	length	C. elegans L3	C. inopinata L4	20	20	0	6.79e-08	1.1e-07	****
2	length	C. elegans L3	C. tropicalis Dauer	20	20	251.5	0.168	0.182	ns
2	length	C. elegans L4	C. inopinata Adult	20	20	0	6.78e-08	1.1e-07	****
2	length	C. elegans L4	C. inopinata Dauer	20	20	400	6.77e-08	1.1e-07	****
2	length	C. elegans L4	C. inopinata L1	20	20	400	6.73e-08	1.1e-07	****
2	length	C. elegans L4	C. inopinata L2	20	20	400	6.76e-08	1.1e-07	****
2	length	C. elegans L4	C. inopinata L3	20	20	219	0.617	0.638	ns
2	length	C. elegans L4	C. inopinata L4	20	20	7	1.91e-07	2.8e-07	****
2	length	C. elegans L4	C. tropicalis Dauer	20	20	400	6.77e-08	1.1e-07	****
2	length	C. inopinata Adult	C. inopinata Dauer	20	20	400	6.79e-08	1.1e-07	****
2	length	C. inopinata Adult	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
2	length	C. inopinata Adult	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
2	length	C. inopinata Adult	C. inopinata L3	20	20	400	6.79e-08	1.1e-07	****
2	length	C. inopinata Adult	C. inopinata L4	20	20	400	1.45e-11	2.64e-10	****
