comparison	subsample.index
C. elegans Dauer vs C. inopinata Dauer	64.126
C. inopinata Dauer vs C. inopinata L2	64.127
C. inopinata Dauer vs C. inopinata L2	65
C. elegans Dauer vs C. inopinata Dauer	66.129
C. inopinata Dauer vs C. inopinata L2	66.130
C. briggsae Dauer vs C. inopinata Dauer	67.131
C. elegans Dauer vs C. inopinata Dauer	67.132
C. inopinata Dauer vs C. inopinata L2	67.133
C. elegans Dauer vs C. inopinata Dauer	68.134
C. inopinata Dauer vs C. inopinata L2	68.135
C. inopinata Dauer vs C. inopinata L2	69
C. elegans Dauer vs C. inopinata Dauer	70.137
C. inopinata Dauer vs C. inopinata L2	70.138
C. briggsae Dauer vs C. inopinata Dauer	71.139
C. inopinata Dauer vs C. inopinata L2	71.140
C. briggsae Dauer vs C. inopinata Dauer	72.141
C. elegans Dauer vs C. inopinata Dauer	72.142
C. inopinata Dauer vs C. inopinata L2	72.143
C. elegans Dauer vs C. inopinata Dauer	73.144
C. inopinata Dauer vs C. inopinata L2	73.145
C. briggsae Dauer vs C. inopinata Dauer	74.146
C. elegans Dauer vs C. inopinata Dauer	74.147
C. inopinata Dauer vs C. inopinata L2	74.148
C. inopinata Dauer vs C. inopinata L2	75
C. briggsae Dauer vs C. inopinata Dauer	76.150
C. inopinata Dauer vs C. inopinata L2	76.151
C. briggsae Dauer vs C. inopinata Dauer	77.152
C. elegans Dauer vs C. inopinata Dauer	77.153
C. inopinata Dauer vs C. inopinata L2	77.154
C. elegans Dauer vs C. inopinata Dauer	78.155
C. inopinata Dauer vs C. inopinata L2	78.156
C. briggsae Dauer vs C. inopinata Dauer	79.157
C. inopinata Dauer vs C. inopinata L2	79.158
C. elegans Dauer vs C. inopinata Dauer	80.159
C. inopinata Dauer vs C. inopinata L2	80.160
C. inopinata Dauer vs C. inopinata L2	81
C. elegans Dauer vs C. inopinata Dauer	82.162
C. inopinata Dauer vs C. inopinata L2	82.163
C. briggsae Dauer vs C. inopinata Dauer	83.164
C. inopinata Dauer vs C. inopinata L2	83.165
C. elegans Dauer vs C. inopinata Dauer	84.166
C. inopinata Dauer vs C. inopinata L2	84.167
C. inopinata Dauer vs C. inopinata L2	85
C. briggsae Dauer vs C. inopinata Dauer	86.169
C. elegans Dauer vs C. inopinata Dauer	86.170
C. inopinata Dauer vs C. inopinata L2	86.171
C. briggsae Dauer vs C. inopinata Dauer	87.172
C. elegans Dauer vs C. inopinata Dauer	87.173
C. inopinata Dauer vs C. inopinata L2	87.174
C. briggsae Dauer vs C. inopinata Dauer	88.175
C. inopinata Dauer vs C. inopinata L2	88.176
C. elegans Dauer vs C. inopinata Dauer	89.177
C. inopinata Dauer vs C. inopinata L2	89.178
C. inopinata Dauer vs C. inopinata L2	90
C. inopinata Dauer vs C. inopinata L2	91
C. elegans Dauer vs C. inopinata Dauer	92.181
C. inopinata Dauer vs C. inopinata L2	92.182
C. inopinata Dauer vs C. inopinata L2	93
C. briggsae Dauer vs C. inopinata Dauer	94.184
C. elegans Dauer vs C. inopinata Dauer	94.185
C. inopinata Dauer vs C. inopinata L2	94.186
C. elegans Dauer vs C. inopinata Dauer	95.187
C. inopinata Dauer vs C. inopinata L2	95.188
C. elegans Dauer vs C. inopinata Dauer	96.189
C. inopinata Dauer vs C. inopinata L2	96.190
C. elegans Dauer vs C. inopinata Dauer	97.191
C. elegans L2 vs C. inopinata Dauer	97.192
C. inopinata Dauer vs C. inopinata L2	97.193
C. briggsae Dauer vs C. inopinata Dauer	98.194
C. inopinata Dauer vs C. inopinata L2	98.195
C. inopinata Dauer vs C. inopinata L2	99
C. elegans Dauer vs C. inopinata Dauer	100.197
C. inopinata Dauer vs C. inopinata L2	100.198
