column_label	pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
1	C. briggsae Dauer vs C. elegans Adult	1	1.33965028982811	629.442539540398	0.94306626001668	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. elegans Dauer	1	0.00295974943576325	1.03898481757371	0.0266140326760239	0.331	0.338438202247191	
1	C. briggsae Dauer vs C. elegans L1	1	0.740131246568503	428.816616934235	0.918597584958392	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. elegans L2	1	0.0544007666396451	29.606864949716	0.437926902419403	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. elegans L3	1	0.0655543310114413	30.9201710400155	0.448637468152292	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. elegans L4	1	0.659696890965238	479.72392420056	0.926601807983517	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. inopinata Adult	1	2.78522408581757	1106.12257919587	0.966786775568482	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. inopinata Dauer	1	0.0146837229482919	8.41645620619392	0.181324833778905	0.003	0.00337037037037037	*
1	C. briggsae Dauer vs C. inopinata L1	1	0.256287346161803	197.178488503065	0.838420596025283	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. inopinata L2	1	0.00889952825391874	2.49137995425956	0.0615286502231811	0.123	0.128655172413793	
1	C. briggsae Dauer vs C. inopinata L3	1	0.462462153227803	128.734530597345	0.772092800070502	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. inopinata L4	1	1.35902402098317	975.668609910223	0.962512403335282	0.001	0.00115189873417722	*
1	C. briggsae Dauer vs C. tropicalis Dauer	1	0.0373463138306428	13.3865968877566	0.260507558361899	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. elegans Dauer	1	1.41219118672157	426.82846594185	0.918249412881797	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. elegans L1	1	3.3398943167243	1527.95418082669	0.975733645041939	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. elegans L2	1	1.70918763076921	743.994434993214	0.951406303805308	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. elegans L3	1	0.867413297959208	336.207981537602	0.898452192698136	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. elegans L4	1	0.14633085394483	79.7428461477825	0.677262770153313	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata Adult	1	0.412794803519343	138.620291562621	0.784849183161228	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata Dauer	1	1.42802123103687	647.769932437202	0.944587830112427	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata L1	1	2.44462946270471	1389.27174696873	0.973375777891838	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata L2	1	1.42396545394266	353.165784809161	0.902854489130385	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata L3	1	0.260136058690557	64.1955331540341	0.62816378732792	0.001	0.00115189873417722	*
1	C. elegans Adult vs C. inopinata L4	1	0.00411158969609181	2.21913375794726	0.0551760704569815	0.14	0.144772727272727	
1	C. elegans Adult vs C. tropicalis Dauer	1	0.963007223790261	296.336939432086	0.886342202974796	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. elegans L1	1	0.660270675998665	227.190566309799	0.856706818312654	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. elegans L2	1	0.0321044049998897	10.6387220903247	0.218729473824744	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. elegans L3	1	0.0867723453057057	26.2916898870507	0.408943829805074	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. elegans L4	1	0.718046796193053	280.990221821712	0.880874091428299	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. inopinata Adult	1	2.86456034644657	774.569156874875	0.953234749709	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. inopinata Dauer	1	0.00830795535577642	2.84042322623907	0.069549309283704	0.092	0.0973488372093023	
1	C. elegans Dauer vs C. inopinata L1	1	0.208304197434351	83.9926288533018	0.688505769920774	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. inopinata L2	1	0.00262912683124844	0.553222701802154	0.0143495838488307	0.468	0.4732	
1	C. elegans Dauer vs C. inopinata L3	1	0.512711517149069	107.427531244859	0.738701470933872	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. inopinata L4	1	1.43211582266177	556.55664263785	0.936086829622479	0.001	0.00115189873417722	*
1	C. elegans Dauer vs C. tropicalis Dauer	1	0.0552969415184768	13.9284025409102	0.268223204631361	0.002	0.002275	*
1	C. elegans L1 vs C. elegans L2	1	0.464510849785802	245.126326535445	0.865784293304697	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. elegans L3	1	1.1620312807666	533.613823284024	0.933521551697817	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. elegans L4	1	2.42379583911241	1691.75910797476	0.978031623117458	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. inopinata Adult	1	4.86135000990696	1887.49632484953	0.980264828600507	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. inopinata Dauer	1	0.653281318149848	362.492561363273	0.905116839447284	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. inopinata L1	1	0.141782981309186	104.457933657687	0.733254589447364	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. inopinata L2	1	0.637085006677642	175.521176139643	0.822031703426231	0.001	0.00115189873417722	*
1	C. elegans L1 vs C. inopinata L3	1	2.08087837961613	570.116372119569	0.937511960305308	0.001	0.00115189873417722	*
