column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
1	width	C. elegans L4	C. inopinata Adult	20	20	13	4.46e-07	7e-07	****
1	width	C. elegans L4	C. inopinata Dauer	20	20	400	6.57e-08	1.32e-07	****
1	width	C. elegans L4	C. inopinata L1	20	20	400	6.14e-08	1.32e-07	****
1	width	C. elegans L4	C. inopinata L2	20	20	400	6.58e-08	1.32e-07	****
1	width	C. elegans L4	C. inopinata L3	20	20	355	2.82e-05	3.67e-05	****
1	width	C. elegans L4	C. inopinata L4	20	20	144.5	0.135	0.145	ns
1	width	C. elegans L4	C. tropicalis Dauer	20	20	400	6.62e-08	1.32e-07	****
1	width	C. inopinata Adult	C. inopinata Dauer	20	20	400	6.61e-08	1.32e-07	****
1	width	C. inopinata Adult	C. inopinata L1	20	20	400	6.18e-08	1.32e-07	****
1	width	C. inopinata Adult	C. inopinata L2	20	20	400	6.62e-08	1.32e-07	****
1	width	C. inopinata Adult	C. inopinata L3	20	20	400	6.72e-08	1.32e-07	****
1	width	C. inopinata Adult	C. inopinata L4	20	20	381.5	9.32e-07	1.39e-06	****
1	width	C. inopinata Adult	C. tropicalis Dauer	20	20	400	6.65e-08	1.32e-07	****
1	width	C. inopinata Dauer	C. inopinata L1	20	20	400	6.06e-08	1.32e-07	****
1	width	C. inopinata Dauer	C. inopinata L2	20	20	313.5	0.002	0.003	**
1	width	C. inopinata Dauer	C. inopinata L3	20	20	66	0.000296	0.000369	***
1	width	C. inopinata Dauer	C. inopinata L4	20	20	0	6.36e-08	1.32e-07	****
1	width	C. inopinata Dauer	C. tropicalis Dauer	20	20	368.5	5.19e-06	6.95e-06	****
1	width	C. inopinata L1	C. inopinata L2	20	20	30	3.9e-06	5.38e-06	****
1	width	C. inopinata L1	C. inopinata L3	20	20	0	6.16e-08	1.32e-07	****
1	width	C. inopinata L1	C. inopinata L4	20	20	0	5.95e-08	1.32e-07	****
1	width	C. inopinata L1	C. tropicalis Dauer	20	20	120	0.03	0.034	*
1	width	C. inopinata L2	C. inopinata L3	20	20	25	2.28e-06	3.19e-06	****
1	width	C. inopinata L2	C. inopinata L4	20	20	0	6.37e-08	1.32e-07	****
1	width	C. inopinata L2	C. tropicalis Dauer	20	20	283.5	0.024	0.028	*
1	width	C. inopinata L3	C. inopinata L4	20	20	16.5	7.01e-07	1.06e-06	****
1	width	C. inopinata L3	C. tropicalis Dauer	20	20	394	1.62e-07	2.63e-07	****
1	width	C. inopinata L4	C. tropicalis Dauer	20	20	400	6.4e-08	1.32e-07	****
2	width	C. briggsae Dauer	C. elegans Adult	20	20	0	6.53e-08	1.44e-07	****
2	width	C. briggsae Dauer	C. elegans Dauer	20	20	209	0.817	0.817	ns
2	width	C. briggsae Dauer	C. elegans L1	20	20	272	0.051	0.057	ns
2	width	C. briggsae Dauer	C. elegans L2	20	20	36.5	9.55e-06	1.28e-05	****
2	width	C. briggsae Dauer	C. elegans L3	20	20	0	6.2e-08	1.44e-07	****
2	width	C. briggsae Dauer	C. elegans L4	20	20	0	6.5e-08	1.44e-07	****
2	width	C. briggsae Dauer	C. inopinata Adult	20	20	0	6.61e-08	1.44e-07	****
2	width	C. briggsae Dauer	C. inopinata Dauer	20	20	16.5	6.84e-07	1.04e-06	****
2	width	C. briggsae Dauer	C. inopinata L1	20	20	241.5	0.263	0.272	ns
2	width	C. briggsae Dauer	C. inopinata L2	20	20	87.5	0.002	0.003	**
2	width	C. briggsae Dauer	C. inopinata L3	20	20	2.5	9.46e-08	1.72e-07	****
2	width	C. briggsae Dauer	C. inopinata L4	20	20	0	6.53e-08	1.44e-07	****
2	width	C. briggsae Dauer	C. tropicalis Dauer	20	20	147.5	0.157	0.168	ns
2	width	C. elegans Adult	C. elegans Dauer	20	20	400	6.49e-08	1.44e-07	****
2	width	C. elegans Adult	C. elegans L1	20	20	400	6.02e-08	1.44e-07	****
2	width	C. elegans Adult	C. elegans L2	20	20	400	6.36e-08	1.44e-07	****
2	width	C. elegans Adult	C. elegans L3	20	20	400	6.25e-08	1.44e-07	****
2	width	C. elegans Adult	C. elegans L4	20	20	373	2.97e-06	4.29e-06	****
2	width	C. elegans Adult	C. inopinata Adult	20	20	140.5	0.11	0.119	ns
2	width	C. elegans Adult	C. inopinata Dauer	20	20	400	6.45e-08	1.44e-07	****
2	width	C. elegans Adult	C. inopinata L1	20	20	400	6.11e-08	1.44e-07	****
2	width	C. elegans Adult	C. inopinata L2	20	20	400	6.54e-08	1.44e-07	****
2	width	C. elegans Adult	C. inopinata L3	20	20	399.5	7.06e-08	1.49e-07	****
2	width	C. elegans Adult	C. inopinata L4	20	20	362	1.21e-05	1.57e-05	****
2	width	C. elegans Adult	C. tropicalis Dauer	20	20	400	6.52e-08	1.44e-07	****
2	width	C. elegans Dauer	C. elegans L1	20	20	260	0.103	0.113	ns
2	width	C. elegans Dauer	C. elegans L2	20	20	30	4.18e-06	5.85e-06	****
2	width	C. elegans Dauer	C. elegans L3	20	20	0	6.15e-08	1.44e-07	****
2	width	C. elegans Dauer	C. elegans L4	20	20	0	6.46e-08	1.44e-07	****
2	width	C. elegans Dauer	C. inopinata Adult	20	20	0	6.56e-08	1.44e-07	****
2	width	C. elegans Dauer	C. inopinata Dauer	20	20	14	4.83e-07	7.58e-07	****
2	width	C. elegans Dauer	C. inopinata L1	20	20	223	0.537	0.549	ns
2	width	C. elegans Dauer	C. inopinata L2	20	20	68	0.000354	0.000435	***
2	width	C. elegans Dauer	C. inopinata L3	20	20	2	8.73e-08	1.62e-07	****
2	width	C. elegans Dauer	C. inopinata L4	20	20	0	6.49e-08	1.44e-07	****
2	width	C. elegans Dauer	C. tropicalis Dauer	20	20	124	0.04	0.045	*
2	width	C. elegans L1	C. elegans L2	20	20	2	7.76e-08	1.53e-07	****
